ID,Name
1009,HRG (Heirs of Rube Goldberg)
1010,Hachimitsu-Kumasan
1011,Haemimont Games
1012,Halatnikov
1013,Half-Life 2: Short Stories Team
1014,Halfbrick Studios
1015,Halfbrick Studios Pty Ltd
1016,Hammerfall Publishing
1017,HanbitSoft
1018,Handic Software
1019,Hands-On Mobile
1020,HandyGames
1021,Hangonit
1022,Happy Dance Games
1023,HappySoft
1024,Harebrained Schemes
1025,Harmonix Music Systems
1026,Hasbro
1027,Hasbro Interactive
1028,Haydee Interactive
1029,Head Games Publishing
1030,Headup Games
1031,Headup Publishing
1032,Hect
1033,Hello Games
1034,Hello There
1035,Hello There Games
1036,Her Interactive
1037,HeroCraft
1038,Herringbone Games
1039,Hervest
1040,Hi Tech Expressions
1041,Hi-Bit Studios
1042,Hi-Rez Studios
1043,Hi-Tech Expressions
1044,Hidden Path Entertainment
1045,Higgs Games
1046,High Voltage Software
1047,Hijinx Studios
1048,Hikaru Games
1049,Himalaya Studios
1050,Hinterland Studio Inc.
1051,Hip Games
1052,Hip Interactive
1053,Hipster Whale
1054,Hirameki
1055,HoYoverse
1056,Holospark
1057,Home Entertainment Suppliers P/L
1058,Honor Code
1059,Hoplon
1060,Hopoo Games
1061,Horror Soft
1062,Hothead Games
1063,Hound Picked Games
1064,House on Fire
1065,Housemarque
1066,Hudson Entertainment
1067,Hudson Soft
1068,Hue Forest Entertainment
1069,HumaNature Studios
1070,Human Entertainment
1071,Humble Bundle
1072,Humble Games
1073,Humble Hearts
1074,Humongous Entertainment
1075,HuniePot
1076,Huracan Studio
1077,Hylian Modding
1078,HypeTrain Digital
1079,Hyper Hippo Entertainment
1080,Hypergryph
1081,Hyperstrange
1082,Hyundai
1083,I-Mockery
1084,I-play
1085,IBM
1086,ICOM Simulations
1087,IDEA Games
1088,IGG
1089,IGG.COM
1090,IMGN.PRO
1091,ININ Games
1092,INTV Corporation
1093,IO Interactive
1094,ION LANDS
1095,IPM
1096,Iceberg Interactive
1097,Idea Factory
1098,Idea Factory Co.
1099,Idea Factory International
1100,Ides
1101,Ignition Entertainment
1102,Ikaron
1103,Illumix
1104,Illusion
1105,Image Works
1106,Imagic
1107,Imagine Inc.
1108,Imagine Software
1109,Imagineer
1110,Imagineer Interactive
1111,Imangi Studios
1112,Imotion
1113,Inc
1114,Inc.
1115,Inc. (SCEI)
1116,Inc.)
1117,Indie Games
1118,IndieGala
1119,Infinitap Games
1120,Infinite Dreams
